"nspnID","invOpen.bsl","respMag.bsl","respAng.bsl","invTotContr.bsl","invTotAssets.bsl","invOpen.fu1","respMag.fu1","respAng.fu1","invTotContr.fu1","invTotAssets.fu1","invOpen.fu2","respMag.fu2","respAng.fu2","invTotContr.fu2","invTotAssets.fu2"
10009,10,0.384,-4.776,145,243,NA,NA,NA,NA,NA,12,0.186,-6.154,152,249
10017,16,0.042,-46.727,154,239,NA,NA,NA,NA,NA,10,0.076,-12.735,149,238
10025,3,0.323,-147.988,50,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10041,10,0.147,-157.438,171,277,NA,NA,NA,NA,NA,15,0.248,-163.638,125,206
10059,10,0.115,-137.859,79,194,NA,NA,NA,NA,NA,5,0.111,-22.015,113,225
10067,8,0.097,-33.366,121,204,NA,NA,NA,NA,NA,20,0.113,-108.386,195,277
10075,20,0.235,-16.968,170,256,NA,NA,NA,NA,NA,20,0.041,-86.051,167,283
10083,20,0.179,-143.051,180,280,NA,NA,NA,NA,NA,20,0.179,-143.051,180,280
10091,3,0.362,-114.045,28,189,NA,NA,NA,NA,NA,10,0.139,-13.11,138,222
10116,7,0.086,-75.59,79,194,NA,NA,NA,NA,NA,20,0.107,-90,200,284
10140,3,0.509,-141.843,14,200,NA,NA,NA,NA,NA,5,0.206,-139.767,59,194
10158,10,0.138,-130.961,92,202,NA,NA,NA,NA,NA,15,0.093,-112.678,105,222
10174,20,0.124,-39.64,140,259,NA,NA,NA,NA,NA,10,0.226,-102.577,93,194
10182,12,0.041,-90,192,280,NA,NA,NA,NA,NA,12,0.038,-92.653,154,256
10207,6,0.135,-34.101,117,216,NA,NA,NA,NA,NA,15,0.146,-38.254,168,248
10215,15,0.249,-117.767,66,194,NA,NA,NA,NA,NA,16,0.177,-117.895,109,211
10223,5,0.391,-0.239,140,274,NA,NA,NA,NA,NA,10,0.299,-0.3,168,272
10265,10,0.038,-15.512,138,239,NA,NA,NA,NA,NA,16,0.108,-25.349,172,264
10281,10,0.2,-177.62,89,195,NA,NA,NA,NA,NA,5,0.094,-133.649,99,236
10299,12,0.142,-103.901,95,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10306,5,0.133,-42.948,117,221,NA,NA,NA,NA,NA,10,0.304,-5.902,165,258
10314,11,0.098,-145.417,102,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10330,12,0.078,-133.376,85,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10356,10,0.233,-124.103,56,202,10,0.229,-5.104,151,251,NA,NA,NA,NA,NA
10364,20,0.107,-90,200,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10447,5,0.367,-152.744,67,207,NA,NA,NA,NA,NA,1,0.185,-149.836,33,189
10520,20,0.183,-154.176,132,263,NA,NA,NA,NA,NA,8,0.189,-149.217,57,201
10570,11,0.229,-102.847,83,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10629,15,0.084,-27.825,136,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10679,8,0.198,-38.132,119,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10695,12,0.153,-56.375,120,216,NA,NA,NA,NA,NA,10,0.222,-17.026,133,221
10702,15,0.168,-67.124,129,214,NA,NA,NA,NA,NA,20,0.107,-90,200,284
10710,15,0.088,-108.843,140,230,NA,NA,NA,NA,NA,10,0.135,-119.44,83,200
10728,20,0.129,-123.614,190,275,NA,NA,NA,NA,NA,20,0.129,-123.614,190,275
10736,7,0.082,-10.061,119,226,5,0.114,-75.597,105,224,7,0.072,-132.672,98,202
10744,10,0.109,-122.628,100,203,NA,NA,NA,NA,NA,10,0.111,-131.791,108,199
10752,10,0.222,-149.635,75,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10778,20,0.147,-47.019,194,276,20,0.198,-20.252,186,281,NA,NA,NA,NA,NA
10794,9,0.113,-121.993,91,199,NA,NA,NA,NA,NA,7,0.06,-78.967,93,196
10801,5,0.262,-2.461,136,262,NA,NA,NA,NA,NA,10,0.037,-129.695,136,242
10819,5,0.256,-163.449,43,200,NA,NA,NA,NA,NA,5,0.396,-123.498,54,190
10827,2,0.32,-124.693,28,185,NA,NA,NA,NA,NA,10,0.206,-157.552,84,204
10843,7,0.059,-56.424,103,206,NA,NA,NA,NA,NA,8,0.065,-75.741,122,245
10869,10,0.348,-1.08,159,265,NA,NA,NA,NA,NA,10,0.166,-8.255,126,219
10877,9,0.082,-101.342,86,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10893,4,0.229,-3.327,121,240,NA,NA,NA,NA,NA,6,0.31,-10.214,124,236
10900,20,0.133,-126.176,189,276,NA,NA,NA,NA,NA,20,0.173,-38.333,199,283
10918,5,0.189,-76.133,66,189,NA,NA,NA,NA,NA,14,0.303,-173.364,88,215
10975,20,0.087,-35.123,190,279,20,0.179,-143.051,180,280,20,0.179,-143.051,180,280
10983,15,0.185,-15.657,188,276,NA,NA,NA,NA,NA,20,0.11,-101.278,197,282
11049,14,0.055,-2.332,145,229,NA,NA,NA,NA,NA,17,0.254,-1.538,189,283
11064,5,0.225,-124.737,52,206,NA,NA,NA,NA,NA,5,0.207,-131.097,62,207
11171,10,0.049,-62.35,124,245,2,0.357,-143.13,7,198,5,0.282,-169.74,19,206
11239,8,0.316,-29.858,124,223,NA,NA,NA,NA,NA,16,0.268,-10.387,150,234
11262,12,0.215,-7.519,142,252,20,0.107,-90,200,284,20,0.107,-90,200,284
11296,8,0.139,-124.05,92,195,NA,NA,NA,NA,NA,8,0.229,-129.865,80,201
11304,14,0.374,0.312,171,247,NA,NA,NA,NA,NA,15,0.206,-16.183,174,249
11312,10,0.166,1.152,153,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11320,8,0.288,-129.913,53,200,NA,NA,NA,NA,NA,6,0.187,-137.376,53,200
11338,5,0.213,-145.755,55,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11403,6,0.19,-158.296,65,183,NA,NA,NA,NA,NA,10,0.039,-104.204,159,254
11429,3,0.305,-129.058,29,190,NA,NA,NA,NA,NA,5,0.153,-120.168,68,212
11460,13,0.291,0.432,172,279,15,0.06,-137.062,135,231,NA,NA,NA,NA,NA
11486,15,0.055,-115.593,153,223,NA,NA,NA,NA,NA,12,0.208,-133.485,89,224
11544,8,0.204,-116.386,74,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11551,8,0.204,-111.535,88,201,NA,NA,NA,NA,NA,10,0.245,-113.044,82,196
11619,10,0.077,-80.876,112,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11627,3,0.328,-105.973,49,180,NA,NA,NA,NA,NA,11,0.137,-122.275,90,210
11635,7,0.094,-126.169,83,196,NA,NA,NA,NA,NA,6,0.27,-124.058,51,192
11718,5,0.209,-113.518,41,198,NA,NA,NA,NA,NA,2,0.41,-125.538,10,197
11759,10,0.154,-116.884,89,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11767,10,0.165,-22.695,127,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11858,10,0.115,-55.474,104,209,NA,NA,NA,NA,NA,10,0.309,-11.645,154,236
11874,7,0.093,-106.466,92,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11882,3,0.079,-77.02,74,201,NA,NA,NA,NA,NA,10,0.036,-27.295,120,226
11932,5,0.18,-85.962,62,193,NA,NA,NA,NA,NA,10,0.1,-90,100,206
11940,3,0.332,-131.5,49,187,NA,NA,NA,NA,NA,15,0.162,-13.965,164,257
11965,5,0.406,-127.544,52,192,NA,NA,NA,NA,NA,10,0.253,-142.215,55,196
11981,5,0.09,-86.952,83,212,8,0.073,-64.927,113,245,8,0.134,-8.032,132,240
12005,10,0.103,-0.138,139,249,10,0.279,-162.715,84,211,10,0.1,-90,100,206
12013,5,0.161,-108.931,49,203,NA,NA,NA,NA,NA,4,0.191,-143.439,51,193
12070,5,0.313,-138.607,63,202,NA,NA,NA,NA,NA,5,0.108,-25.759,104,235
12096,10,0.115,-63.704,115,212,NA,NA,NA,NA,NA,15,0.412,-2.659,170,261
12161,5,0.137,-99.362,103,228,NA,NA,NA,NA,NA,6,0.253,-172.97,39,199
12195,8,0.09,-108.595,81,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12203,10,0.09,-132.587,106,208,NA,NA,NA,NA,NA,15,0.206,-13.333,187,274
12211,7,0.233,-87.051,67,181,NA,NA,NA,NA,NA,6,0.063,-108.102,78,204
12260,7,0.129,-115.132,75,201,NA,NA,NA,NA,NA,10,0.074,-112.393,109,217
12302,8,0.124,-35.462,113,226,NA,NA,NA,NA,NA,10,0.099,-106.202,92,203
12310,5,0.096,-52.899,109,213,NA,NA,NA,NA,NA,10,0.247,-98.768,91,186
12385,12,0.117,-6.619,147,264,8,0.282,-155.185,55,205,11,0.392,-110.572,72,179
12393,14,0.136,-128.25,101,197,7,0.153,-119.473,69,192,15,0.443,-118.55,90,194
12401,15,0.222,-112.248,111,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12435,10,0.286,-154.849,58,200,NA,NA,NA,NA,NA,10,0.082,-97.933,101,209
12500,5,0.268,-140.052,44,203,NA,NA,NA,NA,NA,6,0.099,-70.644,78,195
12526,20,0.19,-29.733,143,254,NA,NA,NA,NA,NA,5,0.12,-77.313,78,212
12534,10,0.093,-64.526,121,245,NA,NA,NA,NA,NA,6,0.085,-139.39,107,206
12542,8,0.155,-45.753,110,208,NA,NA,NA,NA,NA,10,0.296,-148.722,71,201
12567,6,0.095,-36.657,106,231,NA,NA,NA,NA,NA,4,0.063,-63.014,81,193
12591,10,0.207,-3.54,151,259,NA,NA,NA,NA,NA,15,0.132,-17.438,142,242
12658,5,0.129,-41.787,104,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12682,13,0.01,-70.873,144,266,11,0.244,-153.209,92,208,12,0.1,-138.122,108,218
12690,13,0.149,-15.38,162,251,15,0.216,-13.786,184,270,18,0.124,-11.103,195,277
12757,5,0.327,-122.41,70,184,NA,NA,NA,NA,NA,10,0.119,-132.119,81,195
12773,5,0.431,-129.434,43,201,NA,NA,NA,NA,NA,8,0.147,-140.387,76,212
12799,12,0.202,-4.074,148,256,NA,NA,NA,NA,NA,14,0.055,-63.731,136,230
12831,9,0.104,-104.381,92,195,NA,NA,NA,NA,NA,12,0.088,-70.433,102,205
12849,10,0.123,-172.24,111,245,NA,NA,NA,NA,NA,20,0.208,-141.272,97,231
12948,10,0.083,-142.53,104,215,NA,NA,NA,NA,NA,10,0.176,-13.248,161,247
13045,12,0.095,-115.613,110,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13078,4,0.134,-156.522,65,208,NA,NA,NA,NA,NA,10,0.25,-116.241,75,196
13128,14,0.226,9.014,138,249,NA,NA,NA,NA,NA,4,0.344,1.598,138,263
13144,15,0.369,-127.361,71,198,NA,NA,NA,NA,NA,10,0.112,-111.749,92,199
13151,10,0.075,-102.707,104,203,10,0.098,-128.102,96,208,NA,NA,NA,NA,NA
13169,12,0.203,-14.319,148,231,NA,NA,NA,NA,NA,6,0.21,-111.106,73,183
13177,10,0.179,-17.864,114,227,NA,NA,NA,NA,NA,10,0.14,-155.696,89,213
13243,6,0.232,-121.809,55,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13276,5,0.33,-118.668,44,206,4,0.235,-139.885,40,192,5,0.287,-120.225,45,200
13284,10,0.162,-134.818,82,190,NA,NA,NA,NA,NA,10,0.182,-113.159,90,200
13300,7,0.064,-91.159,91,203,NA,NA,NA,NA,NA,10,0.283,-124.416,72,187
13441,10,0.192,-128.178,85,195,NA,NA,NA,NA,NA,15,0.235,-98.899,104,197
13458,12,0.14,-17.921,144,237,NA,NA,NA,NA,NA,7,0.314,-134.771,61,184
13615,3,0.241,-114.26,48,195,NA,NA,NA,NA,NA,15,0.108,-43.689,144,227
13698,15,0.272,-8.283,150,257,NA,NA,NA,NA,NA,8,0.09,-105.997,109,211
13706,8,0.353,-134.537,67,189,NA,NA,NA,NA,NA,12,0.188,-130.694,102,217
13979,10,0.098,-108.884,90,227,NA,NA,NA,NA,NA,5,0.218,-135.121,49,207
13995,12,0.37,-0.779,161,287,NA,NA,NA,NA,NA,5,0.174,-5.849,122,240
14001,10,0.195,-156.362,98,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14027,7,0.149,-146.197,58,194,7,0.272,-132.899,44,188,4,0.47,-133.341,42,188
14092,10,0.029,-231.207,155,285,NA,NA,NA,NA,NA,10,0.123,-35.499,159,248
14100,10,0.235,-7.861,134,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14118,13,0.234,-65.384,133,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14159,15,0.257,-6.161,150,252,12,0.257,-1.861,163,267,20,0.107,-90,200,284
14175,10,0.288,-122.794,65,192,NA,NA,NA,NA,NA,10,0.275,-1.417,158,245
14266,11,0.088,-85.227,95,200,NA,NA,NA,NA,NA,2,0.492,-117.398,36,183
14282,11,0.177,-166.104,104,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14373,14,0.325,-29.698,136,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14399,6,0.402,-3.301,143,267,NA,NA,NA,NA,NA,5,0.298,-62.372,99,201
14449,6,0.168,-130.491,91,203,NA,NA,NA,NA,NA,8,0.344,-8.708,159,253
14464,8,0.228,-128.333,85,197,11,0.105,-121.665,103,218,9,0.151,-18.639,121,236
14506,6,0.254,-111.285,82,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14522,5,0.203,-123.662,68,191,NA,NA,NA,NA,NA,15,0.087,-103.704,125,219
14548,5,0.114,-105.767,90,217,5,0.14,-124.426,62,207,8,0.079,-99.514,100,213
14563,14,0.044,-88.146,125,205,NA,NA,NA,NA,NA,10,0.147,-112.295,98,207
14589,7,0.131,-115.434,91,181,5,0.199,-121.382,56,204,5,0.265,-118.702,48,198
14597,20,0.154,-22.194,180,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14852,6,0.19,-131.949,55,184,NA,NA,NA,NA,NA,15,0.281,-130.417,92,201
14878,5,0.244,-99.259,74,202,NA,NA,NA,NA,NA,10,0.397,-9.622,145,230
15032,12,0.216,-48.766,110,207,12,0.108,-133.214,111,231,8,0.274,-131.465,53,200
15057,10,0.047,-84.833,105,221,11,0.128,-28.497,124,228,10,0.266,-4.467,124,243
15065,9,0.162,-20.435,132,230,13,0.222,-16.492,139,222,10,0.379,-4.974,158,253
15099,13,0.047,-31.709,139,249,NA,NA,NA,NA,NA,8,0.28,-108.039,70,189
15115,10,0.196,-18.318,111,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15198,12,0.248,-1.965,163,270,13,0.051,-19.332,143,248,13,0.153,1.545,148,260
15230,4,0.29,-155.97,41,196,NA,NA,NA,NA,NA,11,0.1,-136.745,100,217
15263,20,0.129,-123.614,190,275,NA,NA,NA,NA,NA,20,0.157,-136.766,184,279
15289,5,0.189,-134.574,94,219,NA,NA,NA,NA,NA,19,0.107,-14.588,177,263
15370,12,0.296,-8.868,161,264,5,0.099,-80.603,77,204,NA,NA,NA,NA,NA
15396,10,0.106,-130.839,106,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15420,1,0.252,-158.772,21,197,NA,NA,NA,NA,NA,5,0.19,-13.352,156,261
15438,10,0.101,-78.338,98,218,NA,NA,NA,NA,NA,10,0.112,-12.831,147,262
15552,15,0.156,-37.389,148,230,NA,NA,NA,NA,NA,10,0.239,-4.902,146,241
15560,12,0.195,-143.048,72,213,8,0.122,-52.725,111,223,2,0.504,-101.974,50,174
15602,5,0.124,-43.902,93,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15636,15,0.166,-78.158,121,223,NA,NA,NA,NA,NA,13,0.186,-140.388,106,212
15743,12,0.142,-124.829,95,214,NA,NA,NA,NA,NA,14,0.211,-128.64,77,186
15842,20,0.167,-154.073,178,287,NA,NA,NA,NA,NA,20,0.107,-90,200,284
15859,12,0.107,-38.912,114,214,8,0.166,-140.334,90,209,15,0.185,-29.229,132,227
15875,10,0.082,-88.274,106,211,NA,NA,NA,NA,NA,5,0.164,-132.352,56,205
15958,20,0.077,-100.756,176,285,NA,NA,NA,NA,NA,20,0.113,-108.386,195,277
16121,7,0.057,-139.898,82,204,NA,NA,NA,NA,NA,3,0.386,-127.673,32,190
16147,10,0.066,-92.908,88,215,NA,NA,NA,NA,NA,10,0.1,-90,100,206
16220,5,0.175,-17.503,130,228,NA,NA,NA,NA,NA,10,0.083,-114.179,103,215
16261,7,0.125,-96.786,83,184,NA,NA,NA,NA,NA,10,0.092,-104.127,96,199
16279,10,0.218,-154.442,86,218,NA,NA,NA,NA,NA,10,0.113,-3.267,142,246
16345,4,0.448,-147.977,21,199,NA,NA,NA,NA,NA,4,0.354,-149.548,23,198
16360,5,0.239,-104.155,53,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16402,11,0.066,-110.263,118,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16436,12,0.141,-118.274,106,211,15,0.376,-118.403,91,193,16,0.3,-7.314,186,280
16451,15,0.188,-21.842,132,228,NA,NA,NA,NA,NA,10,0.201,-16.437,125,229
16519,12,0.078,-101.949,103,222,NA,NA,NA,NA,NA,8,0.134,-8.045,114,248
16568,10,0.245,-123.341,62,189,NA,NA,NA,NA,NA,10,0.375,-136.521,37,202
16584,2,0.294,-141.165,24,188,NA,NA,NA,NA,NA,1,0.234,-117.503,47,198
16592,8,0.201,-10.223,126,238,NA,NA,NA,NA,NA,12,0.081,-95.854,147,243
16600,10,0.17,-2.07,139,251,10,0.208,-3.702,146,251,20,0.336,-16.875,183,266
16618,15,0.103,-121.142,113,217,NA,NA,NA,NA,NA,20,0.107,-90,200,284
16634,6,0.153,-100.786,81,211,8,0.24,-119.498,79,189,8,0.283,-133.354,54,200
16642,12,0.109,-8.283,161,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16733,20,0.179,-143.051,180,280,NA,NA,NA,NA,NA,20,0.108,-93.803,199,283
16790,10,0.173,-8.626,152,238,NA,NA,NA,NA,NA,15,0.211,-18.135,168,257
16832,6,0.35,-126.968,55,184,NA,NA,NA,NA,NA,5,0.201,-134.496,59,195
16907,20,0.091,-56.581,187,274,NA,NA,NA,NA,NA,20,0.081,-90,175,273
16964,12,0.154,-111.842,112,200,NA,NA,NA,NA,NA,5,0.089,-87.621,94,214
17004,8,0.153,-128.525,89,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17046,12,0.289,-1.902,157,254,20,0.107,-90,200,284,20,0.173,-141.63,181,279
17095,20,0.252,-8.133,194,299,NA,NA,NA,NA,NA,15,0.259,-15.202,168,254
17103,10,0.113,-18.605,175,261,NA,NA,NA,NA,NA,10,0.061,-13.209,150,246
17285,5,0.414,-138.264,38,195,NA,NA,NA,NA,NA,6,0.213,-128.196,66,185
17392,5,0.195,0.04,165,287,NA,NA,NA,NA,NA,10,0.214,-4.047,135,234
17491,5,0.176,-26.035,118,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17558,4,0.37,-107.736,54,177,NA,NA,NA,NA,NA,8,0.142,-68.092,97,209
17657,15,0.218,-10.307,165,246,NA,NA,NA,NA,NA,10,0.082,-91.812,100,202
17715,20,0.107,-90,179,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17830,5,0.191,-131.563,69,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17947,11,0.134,-6.133,154,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17954,5,0.162,-125.958,69,203,NA,NA,NA,NA,NA,7,0.091,-99.839,91,197
18010,2,0.417,-117.007,24,189,NA,NA,NA,NA,NA,18,0.237,-164.901,104,229
18051,15,0.328,-9.4,181,259,NA,NA,NA,NA,NA,19,0.17,-3.708,165,259
18077,5,0.203,-152.691,70,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18093,20,0.107,-90,200,284,NA,NA,NA,NA,NA,20,0.107,-90,200,284
18101,15,0.087,-46.064,142,255,NA,NA,NA,NA,NA,12,0.075,-18.767,141,254
18127,20,0.113,-108.386,195,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18150,10,0.262,-136.535,75,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18168,5,0.251,-107.741,70,206,10,0.151,-131.181,95,177,10,0.114,-96.44,102,200
18333,5,0.085,-95.936,75,213,NA,NA,NA,NA,NA,5,0.336,-151.049,60,205
18416,12,0.06,-105.395,107,218,NA,NA,NA,NA,NA,5,0.149,-146.117,89,212
18556,10,0.104,-125.275,107,214,NA,NA,NA,NA,NA,10,0.281,0.887,145,264
18598,20,0.278,-145.376,117,248,NA,NA,NA,NA,NA,19,0.096,-13.641,190,275
18606,15,0.124,-39.245,142,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18754,7,0.196,6.981,123,236,20,0.107,-90,200,284,20,0.107,-90,200,284
18770,13,0.228,-15.539,156,240,NA,NA,NA,NA,NA,13,0.19,-11.659,164,254
18804,9,0.076,-75.587,108,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18978,10,0.263,-117.718,71,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19000,12,0.179,-9.196,131,243,17,0.089,-72.26,155,251,NA,NA,NA,NA,NA
19026,20,0.107,-90,200,284,20,0.179,-143.051,180,280,20,0.179,-143.051,180,280
19042,5,0.246,-142.175,55,203,3,0.515,-146.033,22,194,5,0.097,-71.787,92,210
19059,5,0.307,-108.785,92,186,14,0.329,3.387,143,250,20,0.179,-143.051,180,280
19075,20,0.244,-14.552,183,293,NA,NA,NA,NA,NA,20,0.129,-56.379,188,276
19257,5,0.104,-58.247,102,233,NA,NA,NA,NA,NA,10,0.096,-149.833,109,215
19265,8,0.153,-154.965,95,233,10,0.057,-140.566,109,214,12,0.041,140.313,128,265
19398,10,0.087,-151.131,93,243,NA,NA,NA,NA,NA,13,0.115,-149.411,108,227
19455,12,0.075,-15.204,142,248,NA,NA,NA,NA,NA,4,0.334,-110.756,49,180
19463,20,0.107,-90,200,284,NA,NA,NA,NA,NA,20,0.107,-90,200,284
19513,4,0.111,-150.297,90,210,NA,NA,NA,NA,NA,18,0.356,-136.7,102,234
19554,5,0.289,-111.046,51,193,NA,NA,NA,NA,NA,6,0.092,-128.366,76,212
19612,20,0.084,-64.899,185,277,NA,NA,NA,NA,NA,20,0.152,-134.918,185,279
19653,5,0.352,-153.352,71,187,13,0.065,-76.719,122,215,15,0.066,-58.425,128,230
19745,13,0.228,-99.18,104,211,NA,NA,NA,NA,NA,11,0.083,-69.186,122,217
19802,4,0.242,-178.871,24,202,NA,NA,NA,NA,NA,9,0.125,-62.728,119,204
19935,5,0.4,-131.923,58,186,NA,NA,NA,NA,NA,5,0.208,-119.766,86,214
20131,6,0.304,1.311,139,245,NA,NA,NA,NA,NA,8,0.318,-19.038,126,228
20321,10,0.115,-11.576,171,249,NA,NA,NA,NA,NA,20,0.107,-90,200,284
20404,10,0.44,-136.908,46,197,NA,NA,NA,NA,NA,10,0.123,-118.732,99,200
20487,5,0.123,-53.962,94,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20495,10,0.12,-4.642,147,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20594,20,0.129,-123.614,190,275,NA,NA,NA,NA,NA,1,0.277,-26.061,115,207
20677,12,0.194,-20.256,127,236,NA,NA,NA,NA,NA,15,0.244,-15.033,158,265
20735,10,0.084,-112.085,95,207,NA,NA,NA,NA,NA,10,0.181,-135.589,73,192
20743,3,0.492,-125.316,28,192,NA,NA,NA,NA,NA,8,0.289,-0.938,145,288
20784,10,0.081,-25.986,98,217,NA,NA,NA,NA,NA,7,0.045,-49.499,114,231
20818,2,0.344,-136.528,26,195,NA,NA,NA,NA,NA,1,0.29,170.054,47,230
20826,20,0.255,-11.334,185,291,NA,NA,NA,NA,NA,17,0.113,-21.433,182,266
20933,10,0.262,1.842,178,279,NA,NA,NA,NA,NA,20,0.108,-39.708,155,247
21006,5,0.265,-127.35,51,199,3,0.396,-127.955,27,190,1,0.265,-134.042,22,195
21030,10,0.29,-132.677,58,194,10,0.08,-92.644,96,202,5,0.359,-154.225,45,208
21063,13,0.149,-140.261,112,217,NA,NA,NA,NA,NA,5,0.167,-111.919,91,208
21071,8,0.07,-96.71,98,218,NA,NA,NA,NA,NA,5,0.26,-108.193,59,196
21089,4,0.34,-0.949,113,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21147,7,0.196,-114.5,77,188,NA,NA,NA,NA,NA,10,0.249,-138.342,96,213
21238,14,0.027,-57.209,121,207,NA,NA,NA,NA,NA,5,0.096,-97.063,107,213
21287,6,0.411,-137.233,45,193,NA,NA,NA,NA,NA,8,0.241,-115.637,72,202
21303,15,0.147,-123.6,99,219,12,0.211,-54.742,132,240,4,0.349,-154.913,61,193
21352,10,0.254,-6.245,165,263,NA,NA,NA,NA,NA,10,0.339,-0.437,157,242
21394,3,0.379,-168.191,75,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
